timeframe,checkpoint_bars,current_max,mfe_max,taker_against,actions,delta_r,baseline_r_acted,tail_actions,max_forgone_winner
15M,2,-0.5,0.25,False,4,-1.466656058302211,-0.99,0,0.39
15M,2,-0.5,0.25,True,1,-0.9338742987629794,0.39,0,0.39
15M,2,-0.5,0.5,False,5,-1.0770260250073735,-1.9,0,0.39
15M,2,-0.5,0.5,True,2,-0.5442442654681421,-0.52,0,0.39
15M,2,-0.5,1.0,False,5,-1.0770260250073735,-1.9,0,0.39
15M,2,-0.5,1.0,True,2,-0.5442442654681421,-0.52,0,0.39
15M,2,-0.25,0.25,False,33,-6.969395299141119,-5.399999999999999,1,8.59
15M,2,-0.25,0.25,True,25,1.2797652937929296,-10.360000000000001,0,1.7
15M,2,-0.25,0.5,False,38,-6.539973727968986,-7.730000000000001,1,8.59
15M,2,-0.25,0.5,True,29,2.029718265931243,-12.739999999999998,0,1.7
15M,2,-0.25,1.0,False,40,-6.272742617095382,-8.629999999999999,1,8.59
15M,2,-0.25,1.0,True,30,2.714899013266688,-13.679999999999998,0,1.7
15M,2,0.0,0.25,False,59,-4.567129116219332,-11.69,1,8.59
15M,2,0.0,0.25,True,44,4.875001626581971,-16.96,0,1.7
15M,2,0.0,0.5,False,75,-4.44598342497919,-15.060000000000004,1,8.59
15M,2,0.0,0.5,True,53,5.296416647353771,-19.639999999999997,0,1.7
15M,2,0.0,1.0,False,82,-10.197948008222928,-10.540000000000003,1,8.59
15M,2,0.0,1.0,True,56,0.9482956882448463,-15.850000000000001,0,4.25
15M,2,0.25,0.25,False,73,-6.6197780075934745,-8.88,1,8.59
15M,2,0.25,0.25,True,48,3.9903158827710685,-15.920000000000002,0,2.48
15M,2,0.25,0.5,False,103,-7.174070834008338,-9.680000000000001,2,8.59
15M,2,0.25,0.5,True,58,5.33470050292882,-19.339999999999996,0,2.48
15M,2,0.25,1.0,False,118,-12.442154542251675,-4.479999999999998,2,8.59
15M,2,0.25,1.0,True,62,1.2615190729117824,-15.8,0,4.25
15M,4,-0.5,0.25,False,5,-1.215643791398838,-1.97,0,0.62
15M,4,-0.5,0.25,True,3,-0.973595614365639,-1.01,0,0.62
15M,4,-0.5,0.5,False,5,-1.215643791398838,-1.97,0,0.62
15M,4,-0.5,0.5,True,3,-0.973595614365639,-1.01,0,0.62
15M,4,-0.5,1.0,False,6,-0.8605601314420277,-2.91,0,0.62
15M,4,-0.5,1.0,True,4,-0.6185119544088287,-1.95,0,0.62
15M,4,-0.25,0.25,False,20,-0.4437602108592594,-8.42,0,1.7
15M,4,-0.25,0.25,True,14,-1.6834454156090428,-4.61,0,1.7
15M,4,-0.25,0.5,False,24,-0.7724578809850624,-9.45,0,1.7
15M,4,-0.25,0.5,True,16,-1.2786056028764414,-5.7299999999999995,0,1.7
15M,4,-0.25,1.0,False,26,-0.7690843543447784,-10.37,0,1.7
15M,4,-0.25,1.0,True,18,-1.275232076236158,-6.65,0,1.7
15M,4,0.0,0.25,False,42,-1.1844728810446696,-10.430000000000003,1,8.59
15M,4,0.0,0.25,True,28,2.663317380222642,-10.950000000000001,0,1.7
15M,4,0.0,0.5,False,55,1.4065700274838981,-15.04,1,8.59
15M,4,0.0,0.5,True,31,3.1397854841901087,-12.17,0,1.7
15M,4,0.0,1.0,False,64,-1.7021991561983494,-13.490000000000002,1,8.59
15M,4,0.0,1.0,True,37,1.9883742772098922,-12.149999999999999,0,1.7
