timeframe,checkpoint_bars,target,train_n,test_n,test_rate,auc_logistic,auc_gradient_boosting
15M,2,negative,169,443,0.5620767494356659,0.6625884983231898,0.6735602202624933
15M,2,toxic,169,443,0.2866817155756208,0.623866241403369,0.6344189175720123
15M,4,negative,156,403,0.5186104218362283,0.6899817491244513,0.7160509051447737
15M,4,toxic,156,403,0.2456575682382134,0.6593234981392877,0.6894936204146731
15M,8,negative,130,322,0.40372670807453415,0.795352564102564,0.8102163461538461
15M,8,toxic,130,322,0.15217391304347827,0.7753606937280406,0.8078044404575015
1H,2,negative,133,294,0.54421768707483,0.5388059701492538,0.5405550373134328
1H,2,toxic,133,294,0.41156462585034015,0.5799933119954139,0.615176993264224
1H,4,negative,126,260,0.48846153846153845,0.6226984784796636,0.6402226037534782
1H,4,toxic,126,260,0.35,0.6477664347486832,0.6918850380388841
1H,8,negative,101,211,0.3696682464454976,0.7326007326007327,0.6951031424715635
1H,8,toxic,101,211,0.21800947867298578,0.786034255599473,0.785836627140975
