policy,timeframe,decision_n,economic_n,risknorm_economic_n,delta_always_risknorm,delta_always_full,oracle_positive_delta,beneficial_actions,harm_actions,neutral_actions,same_bar_ambiguous,original_stop_hit,reconciled_stop_hit,target_rate,emergency_rate,median_retained_fraction
q0.65_E1.25_T0.00_H48,15M,50,29,16,-0.2616496222716605,-0.5600000000000003,1.1622159318074932,2,14,0,0,31,10,0.16,0.4,0.5230635499221412
q0.65_E1.25_T0.00_H48,1H,43,37,29,-5.308266363315939,-1.3000000000000003,2.682868985612421,7,22,0,0,28,22,0.13953488372093023,0.3023255813953488,0.538567493112947
q0.65_E1.25_T0.50_H48,15M,50,29,16,0.2432367504513368,0.4399999999999997,1.6671023045304905,2,14,0,0,31,10,0.16,0.4,0.5230635499221412
q0.65_E1.25_T0.50_H48,1H,43,37,29,-5.180857502959413,-1.0500000000000003,2.840277845968947,6,23,0,0,28,22,0.13953488372093023,0.32558139534883723,0.538567493112947
q0.65_E1.25_T1.00_H48,15M,50,29,16,0.748123123174334,1.4399999999999997,2.1719886772534878,2,14,0,0,31,10,0.12,0.42,0.5230635499221412
q0.65_E1.25_T1.00_H48,1H,43,37,29,-4.380239276211705,0.4499999999999996,3.640896072716655,6,23,0,0,28,22,0.13953488372093023,0.32558139534883723,0.538567493112947
q0.65_E1.50_T0.00_H48,15M,50,29,16,-0.4015355650582671,-1.0600000000000003,1.283539267947512,3,13,0,0,31,10,0.24,0.36,0.35415441555788074
q0.65_E1.50_T0.00_H48,1H,43,37,29,-6.561806471762822,0.1999999999999995,4.1228028585446745,10,19,0,0,28,22,0.23255813953488372,0.3023255813953488,0.36852026390197873
q0.65_E1.50_T0.50_H48,15M,50,29,16,0.08631085759090368,0.4399999999999995,1.7713856905966825,3,13,0,0,31,10,0.24,0.36,0.35415441555788074
q0.65_E1.50_T0.50_H48,1H,43,37,29,-5.901475832559571,2.1999999999999997,4.813133497747925,9,20,0,0,28,22,0.2558139534883721,0.32558139534883723,0.36852026390197873
q0.65_E1.50_T1.00_H48,15M,50,29,16,0.5741572802400741,1.9399999999999995,2.259232113245853,3,13,0,0,31,10,0.16,0.4,0.35415441555788074
q0.65_E1.50_T1.00_H48,1H,43,37,29,-4.688364797503352,5.699999999999999,6.026244532804145,9,20,0,0,28,22,0.2558139534883721,0.32558139534883723,0.36852026390197873
q0.75_E1.25_T0.00_H48,15M,27,18,12,-0.2547131322711823,-1.22,0.553150059420904,1,11,0,0,17,8,0.1111111111111111,0.4444444444444444,0.4512046479291619
q0.75_E1.25_T0.00_H48,1H,18,16,11,-0.23372610748819567,-2.7800000000000002,0.12627389251180443,2,9,0,0,12,10,0.0,0.4444444444444444,0.4586737864743806
q0.75_E1.25_T0.50_H48,15M,27,18,12,-0.013453108502820554,-0.72,0.7944100831892658,1,11,0,0,17,8,0.1111111111111111,0.4444444444444444,0.4512046479291619
q0.75_E1.25_T0.50_H48,1H,18,16,11,-0.23372610748819567,-2.7800000000000002,0.12627389251180443,2,9,0,0,12,10,0.0,0.4444444444444444,0.4586737864743806
q0.75_E1.25_T1.00_H48,15M,27,18,12,0.22780691526554098,-0.21999999999999997,1.0356701069576273,1,11,0,0,17,8,0.1111111111111111,0.4444444444444444,0.4512046479291619
q0.75_E1.25_T1.00_H48,1H,18,16,11,-0.23372610748819567,-2.7800000000000002,0.12627389251180443,2,9,0,0,12,10,0.0,0.4444444444444444,0.4586737864743806
q0.75_E1.50_T0.00_H48,15M,27,18,12,-0.033669570139485794,-1.47,0.7965299346143827,2,10,0,0,17,8,0.2222222222222222,0.4074074074074074,0.29132618930310744
q0.75_E1.50_T0.00_H48,1H,18,16,11,0.8218447655933546,-0.78,1.1018447655933548,4,7,0,0,12,10,0.16666666666666666,0.3888888888888889,0.2976201367121203
q0.75_E1.50_T0.50_H48,15M,27,18,12,0.2751737413986418,-0.47,1.1053732461525103,2,10,0,0,17,8,0.2222222222222222,0.4074074074074074,0.29132618930310744
q0.75_E1.50_T0.50_H48,1H,18,16,11,1.1688624447202391,0.72,1.4488624447202394,4,7,0,0,12,10,0.2222222222222222,0.3888888888888889,0.2976201367121203
q0.75_E1.50_T1.00_H48,15M,27,18,12,0.5840170529367693,0.53,1.4142165576906378,2,10,0,0,17,8,0.18518518518518517,0.4444444444444444,0.29132618930310744
q0.75_E1.50_T1.00_H48,1H,18,16,11,1.5158801238471238,2.2200000000000006,1.7958801238471238,4,7,0,0,12,10,0.2222222222222222,0.3888888888888889,0.2976201367121203
q0.85_E1.25_T0.00_H48,15M,5,3,2,-0.11273902707093919,-0.28,0.0,0,2,0,0,3,1,0.0,0.4,0.36767512408767056
q0.85_E1.25_T0.00_H48,1H,4,4,3,0.0,-0.75,0.08000000000000007,1,2,0,0,3,3,0.0,0.75,0.3405350070513849
q0.85_E1.25_T0.50_H48,15M,5,3,2,-0.11273902707093919,-0.28,0.0,0,2,0,0,3,1,0.0,0.4,0.36767512408767056
q0.85_E1.25_T0.50_H48,1H,4,4,3,0.0,-0.75,0.08000000000000007,1,2,0,0,3,3,0.0,0.75,0.3405350070513849
q0.85_E1.25_T1.00_H48,15M,5,3,2,-0.11273902707093919,-0.28,0.0,0,2,0,0,3,1,0.0,0.4,0.36767512408767056
q0.85_E1.25_T1.00_H48,1H,4,4,3,0.0,-0.75,0.08000000000000007,1,2,0,0,3,3,0.0,0.75,0.3405350070513849
q0.85_E1.50_T0.00_H48,15M,5,3,2,-0.13165689269089276,-0.53,0.0,0,2,0,0,3,1,0.2,0.4,0.22524629104985716
q0.85_E1.50_T0.00_H48,1H,4,4,3,0.56168795801559,1.5000000000000002,0.59168795801559,2,1,0,0,3,3,0.5,0.25,0.20524459825705066
q0.85_E1.50_T0.50_H48,15M,5,3,2,-0.13165689269089276,-0.53,0.0,0,2,0,0,3,1,0.2,0.4,0.22524629104985716
q0.85_E1.50_T0.50_H48,1H,4,4,3,0.7489172773541201,2.5,0.7789172773541201,2,1,0,0,3,3,0.5,0.25,0.20524459825705066
q0.85_E1.50_T1.00_H48,15M,5,3,2,-0.13165689269089276,-0.53,0.0,0,2,0,0,3,1,0.0,0.6,0.22524629104985716
q0.85_E1.50_T1.00_H48,1H,4,4,3,0.93614659669265,3.5,0.96614659669265,2,1,0,0,3,3,0.5,0.25,0.20524459825705066
