trade_id,entry_time,timeframe,arm_r,close_threshold_r,r,action_r,delta_r,tail_gt5
2021-02-08 23:15:00+00:00|LONG|TBX0 (a)|1739.4794|35.35,2021-02-08 23:15:00+00:00,15M,1.0,0.0,-0.34,-0.07692922365454553,0.2630707763454545,False
2021-07-18 22:15:00+00:00|SHORT|TBX0|1889.4399|24.79,2021-07-18 22:15:00+00:00,15M,1.0,0.0,-0.44,-0.131912878110728,0.308087121889272,False
2022-06-02 13:00:00+00:00|SHORT|TBX0 (a)|1819.9813|17.69,2022-06-02 13:00:00+00:00,15M,1.0,0.0,-0.47,-0.30349045953183645,0.16650954046816352,False
2022-12-21 08:30:00+00:00|LONG|TBX7A|1213.1288|4.94,2022-12-21 08:30:00+00:00,15M,1.0,0.0,-0.19,-0.026078651942516663,0.16392134805748335,False
2023-05-03 06:30:00+00:00|LONG|TBX0 (a)|1864.5456|6.19,2023-05-03 06:30:00+00:00,15M,1.0,0.0,-0.25,-0.08814609287904193,0.16185390712095807,False
2023-06-23 12:15:00+00:00|SHORT|TBX0 (a)|1873.8414|10.29,2023-06-23 12:15:00+00:00,15M,1.0,0.0,-0.59,-0.16507545668219545,0.4249245433178045,False
2024-01-14 22:30:00+00:00|SHORT|TBX0|2506.407|22.7,2024-01-14 22:30:00+00:00,15M,1.0,0.0,-0.13,-0.19352421547654305,-0.06352421547654305,False
2024-01-16 08:15:00+00:00|LONG|TBX0 (a) or TBX1|2534.9877|10.66,2024-01-16 08:15:00+00:00,15M,1.0,0.0,-0.81,-0.29996885049292393,0.5100311495070762,False
2024-09-05 19:15:00+00:00|SHORT|TBX7B|2369.2376|21.9,2024-09-05 19:15:00+00:00,15M,1.0,0.0,-0.41,-0.06723472374999316,0.3427652762500068,False
2024-09-30 00:15:00+00:00|SHORT|TBX0|2645.577|19.05,2024-09-30 00:15:00+00:00,15M,1.0,0.0,0.55,-0.10357111778331676,-0.6535711177833168,False
2024-10-18 18:15:00+00:00|LONG|TBX7A|2655.2777|18.1,2024-10-18 18:15:00+00:00,15M,1.0,0.0,-0.61,-0.2667250734631622,0.3432749265368378,False
2024-12-05 02:30:00+00:00|LONG|TBX0|3843.3606|66.16,2024-12-05 02:30:00+00:00,15M,1.0,0.0,0.91,-0.09946495443560205,-1.009464954435602,False
2024-12-18 12:30:00+00:00|SHORT|TBX0 (a)|3858.3545|28.8,2024-12-18 12:30:00+00:00,15M,1.0,0.0,-0.58,-0.3672039263283327,0.21279607367166725,False
2025-12-16 13:30:00+00:00|SHORT|TBX0|2927.2041|39.75,2025-12-16 13:30:00+00:00,15M,1.0,0.0,-0.73,-0.11184584938402062,0.6181541506159793,False
2026-04-30 02:30:00+00:00|SHORT|TBX7A|2254.7147|19.29,2026-04-30 02:30:00+00:00,15M,1.0,0.0,-0.4,-0.128319644318324,0.27168035568167603,False
2021-02-24 21:00:00+00:00|SHORT|TBX0|1592.3|15.41,2021-02-24 21:00:00+00:00,1H,1.0,0.0,-1.0,0.013627514600910861,1.0136275146009108,False
2021-04-02 17:00:00+00:00|SHORT|TBX0|2057.51|9.44,2021-04-02 17:00:00+00:00,1H,1.0,0.0,-0.97,-0.0,0.97,False
2021-10-25 00:00:00+00:00|LONG|TBX7A|4135.86|34.17,2021-10-25 00:00:00+00:00,1H,1.0,0.0,-0.51,-0.22768510389229574,0.28231489610770427,False
2021-10-27 09:00:00+00:00|SHORT|TBX7B|4020.0|57.97,2021-10-27 09:00:00+00:00,1H,1.0,0.0,-0.07,-0.08245644298775574,-0.012456442987755736,False
2021-11-12 20:00:00+00:00|LONG|TBX0|4669.99|19.5,2021-11-12 20:00:00+00:00,1H,1.0,0.0,-0.97,-0.05282051282049976,0.9171794871795003,False
2021-11-15 04:00:00+00:00|LONG|TBX0 (a)|4707.84|10.34,2021-11-15 04:00:00+00:00,1H,1.0,0.0,-0.95,-0.0009671179884156943,0.9490328820115843,False
2022-06-01 03:00:00+00:00|SHORT|TBX0 (a)|1929.73|13.4,2022-06-01 03:00:00+00:00,1H,1.0,0.0,-0.97,-0.09029850746268928,0.8797014925373107,False
2022-12-01 04:00:00+00:00|SHORT|TBX0|1283.29|7.02,2022-12-01 04:00:00+00:00,1H,1.0,0.0,-0.18,-0.1253561253561409,0.054643874643859086,False
2023-03-09 14:00:00+00:00|LONG|TBX0|1538.83|3.08,2023-03-09 14:00:00+00:00,1H,1.0,0.0,-0.97,0.0,0.97,False
2023-04-24 06:00:00+00:00|SHORT|TBX7A|1846.81|9.0,2023-04-24 06:00:00+00:00,1H,1.0,0.0,-0.59,-0.3811111111111182,0.2088888888888818,False
2023-04-26 00:00:00+00:00|LONG|TBX0 (a)|1866.3|6.45,2023-04-26 00:00:00+00:00,1H,1.0,0.0,-0.97,0.0015503875968978147,0.9715503875968978,False
2023-09-04 17:00:00+00:00|LONG|TBX0|1629.75|4.26,2023-09-04 17:00:00+00:00,1H,1.0,0.0,-0.94,0.002347417840373452,0.9423474178403733,False
2023-11-10 08:00:00+00:00|SHORT|TBX0|2099.99|13.2,2023-11-10 08:00:00+00:00,1H,1.0,0.0,-0.24,-0.0,0.24,False
2023-12-04 14:00:00+00:00|SHORT|TBX0|2225.61|17.86,2023-12-04 14:00:00+00:00,1H,1.0,0.0,-0.82,-0.04143337066068207,0.7785666293393179,False
2024-01-08 06:00:00+00:00|LONG|TBX0|2212.84|20.4,2024-01-08 06:00:00+00:00,1H,1.0,0.0,5.41,-0.09068627450982177,-5.500686274509822,True
2024-01-09 22:00:00+00:00|LONG|TBX7B|2341.19|28.85,2024-01-09 22:00:00+00:00,1H,1.0,0.0,0.82,-0.0010398613518266928,-0.8210398613518266,False
2024-01-16 13:00:00+00:00|SHORT|TBX0|2525.57|24.16,2024-01-16 13:00:00+00:00,1H,1.0,0.0,-1.0,-0.3973509933774797,0.6026490066225203,False
2024-01-16 15:00:00+00:00|LONG|TBX7A|2559.43|16.17,2024-01-16 15:00:00+00:00,1H,1.0,0.0,1.08,-0.18923933209647156,-1.2692393320964717,False
2024-01-23 22:00:00+00:00|LONG|TBX0|2225.99|26.21,2024-01-23 22:00:00+00:00,1H,1.0,0.0,-0.19,-0.07630675314765356,0.11369324685234644,False
2024-01-25 18:00:00+00:00|LONG|TBX0|2210.65|10.38,2024-01-25 18:00:00+00:00,1H,1.0,0.0,0.09,-0.10308285163778069,-0.1930828516377807,False
2024-02-04 22:00:00+00:00|SHORT|TBX7A|2287.29|9.0,2024-02-04 22:00:00+00:00,1H,1.0,0.0,-1.0,-0.0,1.0,False
2024-07-18 17:00:00+00:00|SHORT|TBX7A|3398.15|13.81,2024-07-18 17:00:00+00:00,1H,1.0,0.0,-0.95,-0.6676321506154815,0.2823678493845184,False
2024-07-22 13:00:00+00:00|SHORT|TBX7A|3465.35|21.39,2024-07-22 13:00:00+00:00,1H,1.0,0.0,-0.55,-0.1678354371201564,0.3821645628798437,False
2024-08-23 00:00:00+00:00|LONG|TBX7B|2637.42|11.89,2024-08-23 00:00:00+00:00,1H,1.0,0.0,1.22,0.0,-1.22,False
2024-09-26 12:00:00+00:00|LONG|TBX0 (a)|2629.11|9.48,2024-09-26 12:00:00+00:00,1H,1.0,0.0,-0.97,0.0010548523206501616,0.9710548523206501,False
2024-10-18 05:00:00+00:00|LONG|TBX7A|2626.86|9.0,2024-10-18 05:00:00+00:00,1H,1.0,0.0,-0.18,-0.005555555555575766,0.17444444444442422,False
2024-10-18 20:00:00+00:00|SHORT|TBX0|2642.62|10.4,2024-10-18 20:00:00+00:00,1H,1.0,0.0,-0.81,-0.20576923076926223,0.6042307692307378,False
2024-10-25 17:00:00+00:00|SHORT|TBX7A|2485.8|30.26,2024-10-25 17:00:00+00:00,1H,1.0,0.0,0.6,-0.5822868473231954,-1.1822868473231953,False
