label,year,train_n,test_n,threshold,actions,delta_r,baseline_r_acted,tail_actions,max_forgone_winner
pre_entry_skip|15M,2023,191,143,inf,0,0.0,0.0,0,
pre_entry_skip|15M,2024,334,174,0.0,31,-13.39,13.39,1,5.25
pre_entry_skip|15M,2025,508,125,inf,0,0.0,0.0,0,
pre_entry_skip|15M,2026,633,74,inf,0,0.0,0.0,0,
pre_entry_skip|1H,2023,142,82,0.1,10,-30.48,30.48,3,14.43
pre_entry_skip|1H,2024,224,108,inf,0,0.0,0.0,0,
pre_entry_skip|1H,2025,332,93,-0.05039091948831469,18,-26.189999999999998,26.189999999999998,2,18.39
pre_entry_skip|1H,2026,425,44,0.0,4,1.7,-1.7,0,0.11
early_exit|15M|2bars,2023,73,55,0.0,19,7.512931467852135,-3.38,0,4.25
early_exit|15M|2bars,2024,128,52,0.0,14,6.417170523332497,-2.57,0,0.72
early_exit|15M|2bars,2025,180,43,0.3,9,-5.70448418207178,12.670000000000002,2,9.34
early_exit|15M|2bars,2026,223,30,inf,0,0.0,0.0,0,
early_exit|15M|4bars,2023,69,48,-0.02990235922321937,22,4.065171107447193,1.029999999999999,0,4.25
early_exit|15M|4bars,2024,117,48,-0.3385056667562154,37,6.275046762939986,-0.1000000000000002,0,2.48
early_exit|15M|4bars,2025,165,39,0.1,12,-0.031026703635393282,12.94,2,9.34
early_exit|15M|4bars,2026,204,29,inf,0,0.0,0.0,0,
early_exit|15M|8bars,2023,56,35,-1.1675009468025137,24,-1.5411294962167226,12.699999999999998,1,8.59
early_exit|15M|8bars,2024,91,42,-0.3581145207384515,22,5.041518982806781,-1.79,0,2.32
early_exit|15M|8bars,2025,133,27,-0.16425222992394034,16,3.971466251169013,8.69,1,6.8
early_exit|15M|8bars,2026,160,22,inf,0,0.0,0.0,0,
early_exit|1H|2bars,2023,95,48,-0.014671478119393962,18,9.293419467201545,-9.8,0,2.04
early_exit|1H|2bars,2024,143,72,0.0,28,-11.284487412496116,14.72,2,7.44
early_exit|1H|2bars,2025,215,55,0.42591441630962856,11,-1.5496548386579851,1.23,0,4.93
early_exit|1H|2bars,2026,270,30,inf,0,0.0,0.0,0,
early_exit|1H|4bars,2023,89,37,-0.40730133242856537,15,-7.2122329907991345,11.209999999999999,1,10.38
early_exit|1H|4bars,2024,126,65,inf,0,0.0,0.0,0,
early_exit|1H|4bars,2025,191,50,0.3,9,-4.110683057438075,11.1,1,7.51
early_exit|1H|4bars,2026,241,23,inf,0,0.0,0.0,0,
early_exit|1H|8bars,2023,72,31,inf,0,0.0,0.0,0,
early_exit|1H|8bars,2024,103,52,inf,0,0.0,0.0,0,
early_exit|1H|8bars,2025,155,36,0.40583988235938506,9,-0.13137876439788765,8.47,1,7.51
early_exit|1H|8bars,2026,191,13,0.03304908828699269,4,0.5843945718789285,-0.5599999999999998,0,1.27
