label,oos_rows,actions,delta_r,tail_actions,positive_folds,active_folds
extend_full|15M|q0.75_E1.25_T0.00_H48,0,0,0.0,0,0,0
extend_risknorm|15M|q0.75_E1.25_T0.00_H48,0,0,0.0,0,0,0
extend_full|15M|q0.75_E1.25_T0.50_H48,0,0,0.0,0,0,0
extend_risknorm|15M|q0.75_E1.25_T0.50_H48,0,0,0.0,0,0,0
extend_full|15M|q0.75_E1.50_T0.00_H48,0,0,0.0,0,0,0
extend_risknorm|15M|q0.75_E1.50_T0.00_H48,0,0,0.0,0,0,0
extend_full|15M|q0.75_E1.50_T0.50_H48,0,0,0.0,0,0,0
extend_risknorm|15M|q0.75_E1.50_T0.50_H48,0,0,0.0,0,0,0
extend_full|1H|q0.75_E1.25_T0.00_H48,0,0,0.0,0,0,0
extend_risknorm|1H|q0.75_E1.25_T0.00_H48,0,0,0.0,0,0,0
extend_full|1H|q0.75_E1.25_T0.50_H48,0,0,0.0,0,0,0
extend_risknorm|1H|q0.75_E1.25_T0.50_H48,0,0,0.0,0,0,0
extend_full|1H|q0.75_E1.50_T0.00_H48,0,0,0.0,0,0,0
extend_risknorm|1H|q0.75_E1.50_T0.00_H48,0,0,0.0,0,0,0
extend_full|1H|q0.75_E1.50_T0.50_H48,0,0,0.0,0,0,0
extend_risknorm|1H|q0.75_E1.50_T0.50_H48,0,0,0.0,0,0,0
pre_entry_skip|15M,516,31,-13.39,1,0,1
pre_entry_skip|1H,327,32,-54.97,5,1,3
early_exit|15M|2bars,180,42,8.225617809112851,2,2,3
early_exit|15M|4bars,164,71,10.309191166751786,2,2,3
early_exit|15M|8bars,126,62,7.471855737759074,2,2,3
early_exit|1H|2bars,205,57,-3.54072278395256,2,1,3
early_exit|1H|4bars,175,24,-11.322916048237206,2,0,2
early_exit|1H|8bars,132,13,0.45301580748104087,1,1,2
