rule,n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5
R14,63,16,47,0,25.396825396825395,-17.75,-0.28174603174603174,-0.81,1.3068749999999998,-0.8225531914893618,1.5888030263838588,0.5408691153647179,-23.970000000000002,16,4.03,-1.25,0,0.0
R3,38,5,33,0,13.157894736842104,-14.73,-0.38763157894736844,-0.56,1.244,-0.6348484848484848,1.9595226730310265,0.2968973747016707,-16.240000000000002,12,3.74,-1.02,0,0.0
R13,152,49,103,0,32.23684210526316,-13.190000000000001,-0.08677631578947369,-0.485,1.2542857142857142,-0.724757281553398,1.7306286479762703,0.8233087742799733,-18.759999999999998,17,6.25,-1.32,1,6.25
R12,38,9,28,1,23.684210526315788,-10.589999999999998,-0.27868421052631576,-0.48,1.0,-0.6996428571428571,1.4293006636038796,0.45941807044410415,-9.67,6,3.37,-1.0,0,0.0
R11,44,9,35,0,20.454545454545457,-9.05,-0.2056818181818182,-0.335,1.1644444444444444,-0.5579999999999999,2.0868180007964954,0.5366103430619561,-13.750000000000004,11,3.22,-1.21,0,0.0
R9,14,4,10,0,28.57142857142857,-6.800000000000001,-0.48571428571428577,-0.8049999999999999,0.4075,-0.843,0.4833926453143535,0.1933570581257414,-6.989999999999999,5,0.84,-1.0,0,0.0
R7,23,5,18,0,21.73913043478261,-1.8499999999999996,-0.08043478260869563,-0.58,2.0580000000000003,-0.6744444444444444,3.0514003294892924,0.8476112026359145,-5.3100000000000005,9,3.19,-1.0,0,0.0
R1,11,2,9,0,18.181818181818183,-1.7900000000000003,-0.16272727272727275,-0.53,1.45,-0.5211111111111112,2.782515991471215,0.6183368869936033,-2.1500000000000004,4,2.08,-0.92,0,0.0
R8,1,0,1,0,0.0,-0.99,-0.99,-0.99,,-0.99,,0.0,0.0,1,-0.99,-0.99,0,0.0
R10,2,1,1,0,50.0,-0.19,-0.095,-0.095,0.3,-0.49,0.6122448979591837,0.6122448979591837,0.0,1,0.3,-0.49,0,0.0
R4,62,16,46,0,25.806451612903224,4.460000000000001,0.07193548387096775,-0.54,2.198125,-0.667608695652174,3.292535004884402,1.145229566916314,-8.840000000000002,12,10.25,-1.19,1,10.25
R6,19,6,13,0,31.57894736842105,7.57,0.39842105263157895,-0.48,2.8049999999999997,-0.7123076923076923,3.9379049676025915,1.8174946004319652,-4.23,4,5.81,-1.0,1,5.81
R2,15,5,10,0,33.33333333333333,11.18,0.7453333333333333,-0.64,3.69,-0.727,5.075653370013756,2.537826685006878,-3.51,4,7.64,-1.16,2,13.52
