label,removed_n,removed_sum_r,removed_wr,removed_pf,removed_tail_gt5,removed_tail_r,base_sum_r,keep_sum_r,delta_sum_r,base_wr,keep_wr,delta_wr,base_pf,keep_pf,delta_pf,base_mdd,keep_mdd,delta_mdd,improves_total_r,improves_pf,no_tail_loss,auc
ML logreg/y_toxic top5%,43,21.099999999999998,34.883720930232556,1.8788004997917536,3,28.6,1114.0300000000002,1092.93,-21.100000000000136,39.289940828402365,39.52618453865336,0.23624371025099578,4.181579323147222,4.351106886613111,0.1695275634658886,-14.680000000000518,-15.140000000000555,-0.4600000000000364,False,True,False,0.5485919027111563
ML rf/y_toxic top5%,43,209.16000000000003,27.906976744186046,8.600290697674422,7,227.71000000000004,1114.0300000000002,904.8699999999999,-209.1600000000003,39.289940828402365,39.900249376558605,0.6103085481562402,4.181579323147222,3.8046678858134704,-0.37691143733375165,-14.680000000000518,-14.730000000000018,-0.04999999999949978,False,False,False,0.6107745993954459
ML et/y_toxic top5%,43,182.99000000000004,32.55813953488372,7.936694465504172,7,194.71000000000004,1114.0300000000002,931.04,-182.99000000000024,39.289940828402365,39.65087281795511,0.3609319895527463,4.181579323147222,3.8756215832226575,-0.30595773992456454,-14.680000000000518,-15.730000000000018,-1.0499999999994998,False,False,False,0.6219553470350012
ML gb/y_toxic top5%,43,185.85999999999999,46.51162790697674,10.039883268482491,10,195.74,1114.0300000000002,928.1700000000001,-185.86000000000013,39.289940828402365,38.90274314214464,-0.38719768625772844,4.181579323147222,3.816135198276647,-0.36544412487057487,-14.680000000000518,-14.720000000000027,-0.03999999999950887,False,False,False,0.5622935704865609
ML logreg/y_full top5%,43,32.980000000000004,32.55813953488372,2.295874263261297,4,46.5,1114.0300000000002,1081.0500000000002,-32.98000000000002,39.289940828402365,39.65087281795511,0.3609319895527463,4.181579323147222,4.3293809670465055,0.14780164389928352,-14.680000000000518,-14.19000000000051,0.4900000000000091,False,True,False,0.6616991207849224
ML rf/y_full top5%,43,229.70000000000005,34.883720930232556,9.491682070240296,8,244.76,1114.0300000000002,884.33,-229.70000000000016,39.289940828402365,39.52618453865336,0.23624371025099578,4.181579323147222,3.7370164035902196,-0.44456291955700245,-14.680000000000518,-14.730000000000018,-0.04999999999949978,False,False,False,0.6750553129380148
ML et/y_full top5%,43,248.84000000000003,39.53488372093023,10.592906707787202,10,261.92,1114.0300000000002,865.19,-248.84000000000015,39.289940828402365,39.276807980049874,-0.013132848352491067,4.181579323147222,3.66860985163937,-0.5129694715078519,-14.680000000000518,-13.519999999999982,1.1600000000005366,False,False,False,0.6787216050598306
ML gb/y_full top5%,43,206.14000000000001,39.53488372093023,9.768183751595066,10,217.45999999999998,1114.0300000000002,907.89,-206.1400000000002,39.289940828402365,39.276807980049874,-0.013132848352491067,4.181579323147222,3.779481998530492,-0.40209732461672987,-14.680000000000518,-14.660000000000082,0.020000000000436557,False,False,False,0.64146790691209
ML logreg/y_neg top5%,43,164.29000000000002,60.46511627906976,12.793969849246231,6,154.90000000000003,1114.0300000000002,949.7400000000001,-164.29000000000008,39.289940828402365,38.15461346633416,-1.1353273620682032,4.181579323147222,3.8247575991910066,-0.3568217239562155,-14.680000000000518,-15.000000000000114,-0.3199999999995953,False,False,False,0.5037791344903149
ML rf/y_neg top5%,43,174.79000000000002,34.883720930232556,7.4881217520415735,6,192.58000000000004,1114.0300000000002,939.24,-174.7900000000002,39.289940828402365,39.52618453865336,0.23624371025099578,4.181579323147222,3.905974443860029,-0.27560487928719324,-14.680000000000518,-17.000000000000114,-2.3199999999995953,False,False,False,0.5056130400646848
ML et/y_neg top5%,43,196.63,39.53488372093023,9.468130921619293,4,197.72000000000003,1114.0300000000002,917.4,-196.63000000000022,39.289940828402365,39.276807980049874,-0.013132848352491067,4.181579323147222,3.8061052824763713,-0.3754740406708508,-14.680000000000518,-14.680000000000064,4.547473508864641e-13,False,False,False,0.5005683349543575
ML gb/y_neg top5%,43,136.72,39.53488372093023,8.382289416846655,5,136.89999999999998,1114.0300000000002,977.31,-136.72000000000025,39.289940828402365,39.276807980049874,-0.013132848352491067,4.181579323147222,3.9469891143744538,-0.23459020877276826,-14.680000000000518,-13.740000000000009,0.9400000000005093,False,False,False,0.48430047927628106
