trade_id,entry_time,direction,setup,r,node72,node48
2021-01-01 00:00:00+00:00|SHORT|TBX0|731.5487|13.47,2021-01-01 00:00:00+00:00,SHORT,TBX0,-0.71,False,False
2021-01-01 12:45:00+00:00|SHORT|TBX7A|733.0856|9.68,2021-01-01 12:45:00+00:00,SHORT,TBX7A,-0.92,False,False
2021-02-08 12:00:00+00:00|LONG|TBX0 (a)|1733.28|45.0,2021-02-08 12:00:00+00:00,LONG,TBX0 (a),-0.97,False,False
2021-02-08 23:15:00+00:00|LONG|TBX0 (a)|1739.4794|35.35,2021-02-08 23:15:00+00:00,LONG,TBX0 (a),-0.34,False,False
2021-02-09 19:45:00+00:00|LONG|TBX0 (a)|1778.0|50.12,2021-02-09 19:45:00+00:00,LONG,TBX0 (a),-0.31,False,False
2021-02-10 06:00:00+00:00|LONG|TBX0 (a)|1826.799|57.31,2021-02-10 06:00:00+00:00,LONG,TBX0 (a),-0.21,False,False
2021-02-12 11:15:00+00:00|LONG|TBX0|1781.8131|22.79,2021-02-12 11:15:00+00:00,LONG,TBX0,-0.27,False,False
2021-02-12 16:00:00+00:00|LONG|TBX7B|1832.34|44.89,2021-02-12 16:00:00+00:00,LONG,TBX7B,0.51,False,False
2021-02-15 08:00:00+00:00|LONG|TBX0|1763.9|30.75,2021-02-15 08:00:00+00:00,LONG,TBX0,1.31,False,False
2021-02-17 03:15:00+00:00|SHORT|TBX0|1754.3462|30.52,2021-02-17 03:15:00+00:00,SHORT,TBX0,-0.34,False,False
2021-02-17 09:00:00+00:00|LONG|TBX7A|1816.12|9.0,2021-02-17 09:00:00+00:00,LONG,TBX7A,-0.6,False,False
2021-02-24 01:15:00+00:00|LONG|TBX0|1591.8969|80.08,2021-02-24 01:15:00+00:00,LONG,TBX0,0.43,False,False
2021-02-24 16:00:00+00:00|LONG|TBX0|1676.5194|55.6,2021-02-24 16:00:00+00:00,LONG,TBX0,-0.27,False,False
2021-02-24 21:00:00+00:00|SHORT|TBX0|1592.3|15.41,2021-02-24 21:00:00+00:00,SHORT,TBX0,-1.0,False,False
2021-02-25 03:15:00+00:00|SHORT|TBX0|1607.0107|46.56,2021-02-25 03:15:00+00:00,SHORT,TBX0,-0.52,False,False
2021-02-25 08:45:00+00:00|SHORT|TBX0|1606.4881|37.33,2021-02-25 08:45:00+00:00,SHORT,TBX0,-0.21,False,False
2021-02-25 15:45:00+00:00|SHORT|TBX0|1617.0828|44.73,2021-02-25 15:45:00+00:00,SHORT,TBX0,2.88,True,True
2021-02-28 19:00:00+00:00|LONG|TBX0|1389.58|45.6,2021-02-28 19:00:00+00:00,LONG,TBX0,0.79,False,False
2021-03-01 08:00:00+00:00|LONG|TBX0|1443.5968|17.99,2021-03-01 08:00:00+00:00,LONG,TBX0,4.53,False,False
2021-03-01 21:45:00+00:00|LONG|TBX0|1534.7918|27.34,2021-03-01 21:45:00+00:00,LONG,TBX0,0.17,False,False
2021-03-02 09:30:00+00:00|LONG|TBX0|1573.53|42.13,2021-03-02 09:30:00+00:00,LONG,TBX0,-0.2,False,False
2021-03-03 08:00:00+00:00|LONG|TBX7B|1592.73|19.39,2021-03-03 08:00:00+00:00,LONG,TBX7B,0.84,False,False
2021-03-04 01:00:00+00:00|LONG|TBX7B|1611.4404|43.75,2021-03-04 01:00:00+00:00,LONG,TBX7B,-0.2,False,False
2021-03-04 08:00:00+00:00|LONG|TBX7B|1583.0525|41.93,2021-03-04 08:00:00+00:00,LONG,TBX7B,-0.21,False,False
2021-03-04 14:15:00+00:00|LONG|TBX7B|1581.53|44.27,2021-03-04 14:15:00+00:00,LONG,TBX7B,-0.2,True,False
2021-03-11 11:00:00+00:00|LONG|TBX0|1780.47|20.44,2021-03-11 11:00:00+00:00,LONG,TBX0,0.45,False,False
2021-03-11 21:00:00+00:00|LONG|TBX0|1823.1723|31.37,2021-03-11 21:00:00+00:00,LONG,TBX0,-0.99,False,False
2021-04-02 17:00:00+00:00|SHORT|TBX0|2057.51|9.44,2021-04-02 17:00:00+00:00,SHORT,TBX0,-0.97,False,False
2021-04-02 20:00:00+00:00|LONG|TBX7B|2094.09|22.21,2021-04-02 20:00:00+00:00,LONG,TBX7B,0.41,False,False
2021-04-04 13:00:00+00:00|LONG|TBX0|2082.6|16.8,2021-04-04 13:00:00+00:00,LONG,TBX0,-0.74,False,False
2021-04-04 21:45:00+00:00|LONG|TBX0|2079.0375|22.35,2021-04-04 21:45:00+00:00,LONG,TBX0,-0.72,False,False
2021-04-05 09:15:00+00:00|LONG|TBX0|2035.148|19.31,2021-04-05 09:15:00+00:00,LONG,TBX0,3.66,False,False
2021-04-06 00:00:00+00:00|LONG|TBX0|2117.0177|24.89,2021-04-06 00:00:00+00:00,LONG,TBX0,-0.38,False,False
2021-04-08 04:00:00+00:00|LONG|TBX0|2020.99|25.7,2021-04-08 04:00:00+00:00,LONG,TBX0,-0.37,False,False
2021-04-08 12:15:00+00:00|LONG|TBX0|2019.5318|26.83,2021-04-08 12:15:00+00:00,LONG,TBX0,1.94,False,False
2021-04-09 09:45:00+00:00|LONG|TBX0|2080.0371|10.7,2021-04-09 09:45:00+00:00,LONG,TBX0,-0.25,False,False
2021-04-20 15:00:00+00:00|LONG|TBX7A|2225.35|46.09,2021-04-20 15:00:00+00:00,LONG,TBX7A,-1.0,False,False
2021-04-21 12:15:00+00:00|LONG|TBX7A|2308.2645|58.67,2021-04-21 12:15:00+00:00,LONG,TBX7A,0.88,False,False
2021-04-22 05:45:00+00:00|LONG|TBX7A|2465.3339|81.18,2021-04-22 05:45:00+00:00,LONG,TBX7A,1.31,False,False
2021-04-22 17:00:00+00:00|SHORT|TBX0|2530.36|107.84,2021-04-22 17:00:00+00:00,SHORT,TBX0,2.52,False,False
2021-04-23 15:00:00+00:00|LONG|TBX0|2334.27|81.78,2021-04-23 15:00:00+00:00,LONG,TBX0,-0.31,False,False
2021-04-25 17:00:00+00:00|SHORT|TBX0|2326.63|33.54,2021-04-25 17:00:00+00:00,SHORT,TBX0,1.64,False,False
2021-04-25 23:00:00+00:00|LONG|TBX7A|2320.71|28.19,2021-04-25 23:00:00+00:00,LONG,TBX7A,3.77,False,False
2021-05-17 18:00:00+00:00|LONG|TBX0|3351.84|192.51,2021-05-17 18:00:00+00:00,LONG,TBX0,-0.33,False,False
2021-05-19 16:00:00+00:00|LONG|TBX0|2856.12|150.69,2021-05-19 16:00:00+00:00,LONG,TBX0,-1.21,False,False
2021-05-21 09:15:00+00:00|LONG|TBX0 (a) or TBX1|2748.04|155.73,2021-05-21 09:15:00+00:00,LONG,TBX0 (a) or TBX1,-0.54,False,False
2021-05-23 20:00:00+00:00|LONG|TBX0|2063.96|99.42,2021-05-23 20:00:00+00:00,LONG,TBX0,4.78,False,False
2021-06-14 18:00:00+00:00|SHORT|TBX0|2532.88|51.04,2021-06-14 18:00:00+00:00,SHORT,TBX0,-0.73,False,False
2021-06-17 03:00:00+00:00|LONG|TBX0|2433.31|19.14,2021-06-17 03:00:00+00:00,LONG,TBX0,-1.16,False,False
2021-06-17 16:00:00+00:00|SHORT|TBX7B|2363.44|39.45,2021-06-17 16:00:00+00:00,SHORT,TBX7B,-0.23,False,False
