instrument,timeframe,direction,setup,entry_price,exit_price,sl_usd,pnl,r,entry_time,exit_time,r_base,pyr_r,macro_zone,macro_mult,macro_rule,month,f11_skip,f11_type,skip_metrics,modified,pyr_triggered,exit_time_parsed,is_open,gf_blocked,sign,stop_price,in_metrics,trade_id,bars_to_fill,entry_in_signal_bar,dist_from_open_r,entry_style,mfe_r,mae_r,mfe_12h,mae_12h,stop_touched,stop_close_through,stop_wick_only,bars_to_stop,beyond_stop_r,beyond_stop_atr,atr_at_entry,cf_mfe_r,cf_mfe_no_retest_r,cf_reclaimed,cf_reached_1r,cf_reached_2r,cf_reached_5r,hours_to_cf_mfe,stop_fate,_med_beyond_r,_p75_beyond_r,_med_beyond_atr,_p75_beyond_atr
ETHUSDT,15M,SHORT,TBX0,731.5486664081818,742.1687394248177,13.47,-9.54,-0.71,2021-01-01 00:00:00+00:00,2021-01-01 01:00,-0.71,-0.71,NORMAL,1.0,,2021-01,,,False,,,2021-01-01 01:00:00+00:00,False,False,-1.0,745.0186664081818,True,2021-01-01 00:00:00+00:00|SHORT|TBX0|731.5487|13.47,0.0,True,0.011234862050351095,market_like,0.11497152250792993,-0.9607523082270373,0.4423657318620478,-1.3995050921914,False,False,False,,0.0,,,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,15M,SHORT,TBX7A,733.0856393041363,742.77,9.68,-8.91,-0.92,2021-01-01 12:45:00+00:00,2021-01-01 13:45,-0.92,-0.92,NORMAL,1.0,,2021-01,,,False,,,2021-01-01 13:45:00+00:00,False,False,-1.0,742.7656393041362,True,2021-01-01 12:45:00+00:00|SHORT|TBX7A|733.0856|9.68,0.0,True,0.9302025512255928,limit_retest,0.023309845468623955,-1.055202551225585,1.914838771088465,-1.1099546173412962,True,False,True,4.0,0.05520255122558493,0.13631650404685314,3.9199999999999835,1.914838771088465,,True,True,False,False,5.0,stop_hunt,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,1H,LONG,TBX0 (a),1733.28,1688.28,45.0,-43.65,-0.97,2021-02-08 12:00:00+00:00,2021-02-08 13:45,-0.97,-0.97,NORMAL,1.0,,2021-02,,,False,,,2021-02-08 13:45:00+00:00,False,False,1.0,1688.28,True,2021-02-08 12:00:00+00:00|LONG|TBX0 (a)|1733.28|45.0,3.0,False,1.5371111111111126,limit_retest,0.5546666666666675,-1.9617777777777772,1.0937777777777784,-1.9617777777777772,True,True,False,0.0,0.9617777777777772,3.441749502982106,12.574999999999998,1.0937777777777784,,True,True,False,False,4.0,hopeless,0.4321185415586152,0.6756383432490256,0.6360653867547656,1.0796369927068623
ETHUSDT,15M,LONG,TBX0 (a),1739.4794480561882,1726.473857471066,35.35,-11.95,-0.34,2021-02-08 23:15:00+00:00,2021-02-09 02:00,-0.34,-0.34,NORMAL,1.0,,2021-02,,,False,,,2021-02-09 02:00:00+00:00,False,False,1.0,1704.1294480561883,True,2021-02-08 23:15:00+00:00|LONG|TBX0 (a)|1739.4794|35.35,0.0,True,0.48541578659655554,market_like,1.061401752300193,-0.7434073000336104,2.5739901539975065,-0.7434073000336104,False,False,False,,0.0,0.0,16.120000000000022,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,15M,LONG,TBX0 (a),1778.0,1752.4,50.12,-11.04,-0.31,2021-02-09 19:45:00+00:00,2021-02-09 23:00,-0.31,-0.31,YELLOW,0.5,День перед CPI,2021-02,,,False,True,,2021-02-09 23:00:00+00:00,False,False,1.0,1727.88,True,2021-02-09 19:45:00+00:00|LONG|TBX0 (a)|1778.0|50.12,0.0,True,0.41899441340782123,market_like,0.3902633679169981,-0.5768156424581022,1.0853950518755007,-0.5768156424581022,False,False,False,,0.0,0.0,12.831428571428578,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,15M,LONG,TBX0 (a),1826.7990414776007,1791.3714908129682,57.31,-12.09,-0.21,2021-02-10 06:00:00+00:00,2021-02-10 11:00,-0.21,-0.21,NORMAL,1.0,,2021-02,,,False,,,2021-02-10 11:00:00+00:00,False,False,1.0,1769.4890414776007,True,2021-02-10 06:00:00+00:00|LONG|TBX0 (a)|1826.799|57.31,0.0,True,0.43690527792009554,market_like,0.3699347151003199,-0.7293498774664223,0.3699347151003199,-2.5614908650776593,False,False,False,,0.0,0.0,16.055,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,15M,LONG,TBX0,1781.8130717772153,1780.0200203217726,22.79,-6.23,-0.27,2021-02-12 11:15:00+00:00,2021-02-12 14:30,-0.27,-0.27,GREEN,1.25,Канун праздника (прочие),2021-02,,,False,,,2021-02-12 14:30:00+00:00,False,False,1.0,1759.0230717772154,True,2021-02-12 11:15:00+00:00|LONG|TBX0|1781.8131|22.79,0.0,True,0.23269292572248076,market_like,1.1442267759010432,-0.9545007361656597,3.995038535444694,-1.3959224123394176,False,False,False,,0.0,0.0,8.501428571428603,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
ETHUSDT,1H,LONG,TBX7B,1832.34,1850.583326470568,44.89,22.8,0.51,2021-02-12 16:00:00+00:00,2021-02-13 05:15,0.51,0.51,GREEN,1.25,Канун праздника (прочие),2021-02,,,False,,,2021-02-13 05:15:00+00:00,False,False,1.0,1787.4499999999998,True,2021-02-12 16:00:00+00:00|LONG|TBX7B|1832.34|44.89,3.0,False,0.9327244375139205,limit_retest,1.0367565159278278,-0.9327244375139205,1.0367565159278278,-0.9327244375139205,False,False,False,,0.0,0.0,13.478571428571447,,,False,False,False,False,,clean_winner,0.4321185415586152,0.6756383432490256,0.6360653867547656,1.0796369927068623
ETHUSDT,1H,LONG,TBX0,1763.9,1804.2241308881516,30.75,40.32,1.31,2021-02-15 08:00:00+00:00,2021-02-15 21:45,1.31,1.31,NORMAL,1.0,,2021-02,,,False,,,2021-02-15 21:45:00+00:00,False,False,1.0,1733.15,True,2021-02-15 08:00:00+00:00|LONG|TBX0|1763.9|30.75,1.0,False,0.44455284552845764,limit_retest,2.462764227642277,-0.7323577235772352,2.4422764227642246,-0.7323577235772352,False,False,False,,0.0,0.0,13.932142857142821,,,False,False,False,False,,clean_winner,0.4321185415586152,0.6756383432490256,0.6360653867547656,1.0796369927068623
ETHUSDT,15M,SHORT,TBX0,1754.3462011497907,1765.3662291818687,30.52,-10.3,-0.34,2021-02-17 03:15:00+00:00,2021-02-17 06:15,-0.34,-0.34,GREEN,1.2,PPI утро до 09:00 UTC,2021-02,,,False,,,2021-02-17 06:15:00+00:00,False,False,-1.0,1784.8662011497906,True,2021-02-17 03:15:00+00:00|SHORT|TBX0|1754.3462|30.52,0.0,True,0.3281061222217969,market_like,0.6122608502552613,-0.45949537517068256,0.6122608502552613,-3.2124442611470982,False,False,False,,0.0,0.0,12.690714285714307,,,False,False,False,False,,not_applicable,0.1971460202159876,0.5223454612889963,0.40722260590701836,1.0827463162798883
