n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5,label,med_cf_mfe,med_cf_mfe_noret,pct_cf_ge1,pct_cf_ge2,pct_wick,med_beyond_r,med_bars_to_stop
589,237,350,2,40.2376910016978,832.77,1.4138709677419354,-0.29,4.572405063291139,-0.7168285714285714,6.378659062345645,4.319263422216908,-10.759999999999991,9,96.52,-2.33,53,813.56,entry_style=limit_retest,1.806574923547409,1.0346534653465693,30.050933786078097,21.561969439728355,23.769100169779286,0.0,1.0
585,213,371,1,36.41025641025641,497.23,0.849965811965812,-0.28,3.398497652582159,-0.6109164420485176,5.562950051215446,3.1938230752261187,-10.740000000000123,11,82.8,-1.94,30,467.52000000000004,entry_style=market_like,1.085252980074207,0.5944963735980673,15.726495726495726,12.136752136752136,16.58119658119658,0.0,4.0
4,2,2,0,50.0,3.0599999999999996,0.7649999999999999,0.0,2.63,-1.1,2.3909090909090907,2.3909090909090907,-1.2000000000000002,1,4.26,-1.2,0,0.0,entry_style=unknown,2.0543996002606493,,50.0,25.0,25.0,0.0007598865615922046,2.0
709,257,449,3,36.24823695345557,542.51,0.7651763046544429,-0.27,3.1866536964980545,-0.6157238307349667,5.175459414481756,2.962345366418288,-16.269999999999982,11,82.8,-2.33,39,506.05,timeframe=15M,0.6840556845176669,0.8638441265521564,12.834978843441466,9.167842031029618,16.92524682651622,0.0,3.0
469,195,274,0,41.57782515991471,790.55,1.6856076759061833,-0.31,5.096564102564103,-0.741897810218978,6.8696308741763294,4.8889708776072425,-6.799999999999997,7,96.52,-1.25,44,775.0300000000001,timeframe=1H,2.2178051511758192,1.0011544544016824,38.37953091684435,28.57142857142857,25.15991471215352,0.030000000000018234,1.0
197,75,120,2,38.07106598984771,203.53000000000006,1.0331472081218278,-0.29,3.8763999999999994,-0.7266666666666666,5.334495412844037,3.3340596330275227,-9.439999999999998,7,70.0,-2.33,15,205.60000000000002,limit_retest|15M,0.8389793502371259,1.04762019848412,16.751269035532996,10.152284263959391,21.82741116751269,0.0,3.0
392,162,230,0,41.3265306122449,629.24,1.6052040816326532,-0.29,4.894629629629629,-0.7116956521739131,6.87741960299844,4.844095546459771,-6.799999999999997,8,96.52,-1.25,38,607.9600000000002,limit_retest|1H,2.0733987844787243,1.0051660516605085,36.734693877551024,27.29591836734694,24.744897959183675,0.027988671969150114,0.0
510,180,329,1,35.294117647058826,333.72,0.6543529411764707,-0.27,2.9054444444444445,-0.575258358662614,5.050677492455998,2.763288597696291,-9.5,10,82.8,-1.94,24,300.45,market_like|15M,0.656114490088249,0.5694121497484856,11.372549019607844,8.823529411764707,15.098039215686274,0.0,3.0
75,33,42,0,44.0,163.51000000000005,2.180133333333334,-0.54,6.087878787878789,-0.8902380952380953,6.838483794889251,5.373094410270126,-4.199999999999999,4,50.35,-1.21,6,167.07000000000005,market_like|1H,3.3838888888888805,0.7377179080824046,45.33333333333333,34.66666666666667,26.666666666666668,0.0689013035381767,6.0
2,2,0,0,100.0,5.26,2.63,2.63,2.63,,,,0.0,0,4.26,1.0,0,0.0,unknown|15M,,,,,0.0,0.0,
2,0,2,0,0.0,-2.2,-1.1,-1.1,,-1.1,,0.0,-1.2000000000000002,2,-1.0,-1.2,0,0.0,unknown|1H,2.0543996002606493,,100.0,50.0,50.0,0.4238451545155918,2.0
