timeframe,entry_style,stop_fate,n,sum_r,mean_r
15M,limit_retest,ambiguous_stop,27,-28.56,-1.0577777777777777
15M,limit_retest,clean_winner,66,271.23,4.109545454545454
15M,limit_retest,hopeless,26,-23.2,-0.8923076923076922
15M,limit_retest,not_applicable,55,-23.11,-0.42018181818181816
15M,limit_retest,stop_hunt,14,-12.33,-0.8807142857142857
15M,limit_retest,winner_survived_stop_touch,9,19.5,2.1666666666666665
15M,market_like,ambiguous_stop,61,-47.63,-0.7808196721311476
15M,market_like,clean_winner,172,501.15999999999997,2.9137209302325577
15M,market_like,hopeless,57,-41.73,-0.7321052631578947
15M,market_like,not_applicable,188,-78.9,-0.4196808510638298
15M,market_like,stop_hunt,24,-21.0,-0.875
15M,market_like,winner_survived_stop_touch,8,21.82,2.7275
15M,unknown,clean_winner,2,5.26,2.63
1H,limit_retest,ambiguous_stop,51,-41.92,-0.8219607843137255
1H,limit_retest,clean_winner,105,289.55,2.757619047619048
1H,limit_retest,hopeless,68,-60.28,-0.8864705882352941
1H,limit_retest,not_applicable,71,-29.4,-0.4140845070422535
1H,limit_retest,stop_hunt,40,-32.089999999999996,-0.8022499999999999
1H,limit_retest,winner_survived_stop_touch,57,503.38,8.831228070175438
1H,market_like,ambiguous_stop,9,-9.01,-1.001111111111111
1H,market_like,clean_winner,28,116.32000000000001,4.154285714285715
1H,market_like,hopeless,12,-10.98,-0.915
1H,market_like,not_applicable,5,-2.0700000000000003,-0.41400000000000003
1H,market_like,stop_hunt,16,-15.33,-0.958125
1H,market_like,winner_survived_stop_touch,5,84.58,16.916
1H,unknown,hopeless,1,-1.0,-1.0
1H,unknown,stop_hunt,1,-1.2,-1.2
